date,state,current,target
2017-02-10 09:38:52.719112,no job,45.4,71
2017-02-10 09:38:58.340649,no job,45.4,71
2017-02-10 09:39:04.003082,no job,45.3,71
2017-02-10 09:39:09.954417,no job,45.3,71
2017-02-10 09:39:15.600411,no job,45.3,71
2017-02-10 09:39:21.187408,no job,45.2,71
2017-02-10 09:39:26.826937,no job,45.2,71
2017-02-10 09:39:32.640014,no job,45.2,71
2017-02-10 09:39:38.228382,no job,45.1,71
2017-02-10 09:39:43.804962,no job,45.1,71
2017-02-10 09:39:49.363655,no job,45.1,71
2017-02-10 09:39:54.991917,no job,45.1,71
2017-02-10 09:40:00.599671,no job,45,71
2017-02-10 09:40:06.192612,no job,45,71
2017-02-10 09:40:11.788980,no job,45,71
2017-02-10 09:40:17.453837,no job,44.9,71
2017-02-10 09:40:23.046824,no job,44.9,71
2017-02-10 09:40:28.630779,no job,44.9,71
2017-02-10 09:40:34.328189,no job,44.9,71
2017-02-10 09:40:39.969598,no job,44.8,71
2017-02-10 09:40:45.529403,no job,44.8,71
2017-02-10 09:40:51.126031,no job,44.8,71
2017-02-10 09:40:56.686208,no job,44.7,71
2017-02-10 09:41:02.299071,no job,44.7,71
2017-02-10 09:41:07.975564,no job,44.7,71
2017-02-10 09:41:13.592390,no job,44.7,71
2017-02-10 09:41:19.266987,no job,44.6,71
2017-02-10 09:41:24.854791,no job,44.6,71
2017-02-10 09:41:30.514921,no job,44.6,71
2017-02-10 09:41:36.250671,no job,44.6,71
2017-02-10 09:41:41.889101,no job,44.5,71
2017-02-10 09:41:47.516820,no job,44.5,71
2017-02-10 09:41:53.153120,no job,44.5,71
2017-02-10 09:41:58.749360,no job,44.4,71
2017-02-10 09:42:04.354151,no job,44.4,71
2017-02-10 09:42:09.917316,no job,44.4,71
2017-02-10 09:42:16.547167,no job,44.4,71
2017-02-10 09:42:22.171398,no job,44.3,71
2017-02-10 09:42:27.782233,no job,44.3,71
2017-02-10 09:42:39.229191,no job,44.3,71
2017-02-10 09:42:44.901169,no job,44.2,71
2017-02-10 09:42:50.678693,no job,44.2,71
